x	y	dx	dy
-0.17452007	0.593333333	0.05	0.013333333
-0.34904014	0.58	0.05	0.013333333
-0.523560209	0.606666667	0.05	0.013333333
-0.698080279	0.606666667	0.05	0.013333333
0.17452007	0.6	0.05	0.013333333
0.34904014	0.586666667	0.05	0.013333333
0.523560209	0.613333333	0.05	0.013333333
0.698080279	0.613333333	0.05	0.013333333
